Wavelength	Intensity	ROI	Frame	Row	Column
921.93755351249638	628	1	1	0	0
921.95465514507191	643	1	1	0	1
921.97175641248555	636	1	1	0	2
921.98885731470011	646	1	1	0	3
922.00595785167764	648	1	1	0	4
922.02305802338071	635	1	1	0	5
922.04015782977183	634	1	1	0	6
922.05725727081347	633	1	1	0	7
922.07435634646765	628	1	1	0	8
922.09145505669721	640	1	1	0	9
922.10855340146475	631	1	1	0	10
922.12565138073251	630	1	1	0	11
922.14274899446264	629	1	1	0	12
922.15984624261807	628	1	1	0	13
922.17694312516107	627	1	1	0	14
922.194039642054	623	1	1	0	15
922.21113579325947	639	1	1	0	16
922.22823157874006	625	1	1	0	17
922.24532699845781	625	1	1	0	18
922.26242205237565	625	1	1	0	19
922.27951674045573	631	1	1	0	20
922.29661106266076	637	1	1	0	21
922.31370501895287	626	1	1	0	22
922.3307986092949	620	1	1	0	23
922.34789183364921	637	1	1	0	24
922.36498469197829	628	1	1	0	25
922.38207718424451	631	1	1	0	26
922.39916931041057	631	1	1	0	27
922.41626107043885	627	1	1	0	28
922.4333524642916	637	1	1	0	29
922.45044349193176	628	1	1	0	30
922.46753415332137	625	1	1	0	31
922.48462444842346	622	1	1	0	32
922.50171437720007	643	1	1	0	33
922.5188039396138	630	1	1	0	34
922.53589313562725	621	1	1	0	35
922.55298196520289	629	1	1	0	36
922.57007042830321	642	1	1	0	37
922.58715852489092	631	1	1	0	38
922.60424625492817	635	1	1	0	39
922.62133361837778	619	1	1	0	40
922.63842061520188	621	1	1	0	41
922.65550724536354	619	1	1	0	42
922.67259350882489	631	1	1	0	43
922.68967940554853	626	1	1	0	44
922.70676493549706	637	1	1	0	45
922.72385009863308	630	1	1	0	46
922.74093489491884	630	1	1	0	47
922.758019324317	629	1	1	0	48
922.77510338679042	621	1	1	0	49
922.7921870823011	616	1	1	0	50
922.80927041081191	629	1	1	0	51
922.82635337228533	624	1	1	0	52
922.843435966684	620	1	1	0	53
922.86051819397017	632	1	1	0	54
922.87760005410678	621	1	1	0	55
922.89468154705594	613	1	1	0	56
922.91176267278047	623	1	1	0	57
922.92884343124308	620	1	1	0	58
922.945923822406	626	1	1	0	59
922.963003846232	615	1	1	0	60
922.98008350268378	618	1	1	0	61
922.99716279172355	626	1	1	0	62
923.01424171331382	619	1	1	0	63
923.03132026741775	628	1	1	0	64
923.04839845399727	623	1	1	0	65
923.06547627301529	621	1	1	0	66
923.08255372443443	627	1	1	0	67
923.09963080821706	623	1	1	0	68
923.11670752432576	623	1	1	0	69
923.13378387272348	621	1	1	0	70
923.15085985337225	632	1	1	0	71
923.16793546623524	622	1	1	0	72
923.18501071127434	611	1	1	0	73
923.20208558845309	623	1	1	0	74
923.21916009773315	614	1	1	0	75
923.23623423907748	634	1	1	0	76
923.25330801244888	620	1	1	0	77
923.27038141780974	616	1	1	0	78
923.28745445512266	615	1	1	0	79
923.30452712435044	609	1	1	0	80
923.32159942545547	627	1	1	0	81
923.33867135840046	616	1	1	0	82
923.35574292314777	622	1	1	0	83
923.37281411966046	603	1	1	0	84
923.3898849479009	609	1	1	0	85
923.40695540783167	613	1	1	0	86
923.42402549941551	600	1	1	0	87
923.4410952226151	620	1	1	0	88
923.45816457739284	616	1	1	0	89
923.47523356371141	614	1	1	0	90
923.49230218153355	616	1	1	0	91
923.509370430822	622	1	1	0	92
923.526438311539	618	1	1	0	93
923.54350582364759	620	1	1	0	94
923.56057296711026	619	1	1	0	95
923.57763974188958	618	1	1	0	96
923.59470614794827	617	1	1	0	97
923.611772185249	614	1	1	0	98
923.62883785375448	620	1	1	0	99
923.6459031534273	614	1	1	0	100
923.66296808423	617	1	1	0	101
923.68003264612514	619	1	1	0	102
923.6970968390757	622	1	1	0	103
923.71416066304437	616	1	1	0	104
923.73122411799352	608	1	1	0	105
923.74828720388587	611	1	1	0	106
923.765349920684	606	1	1	0	107
923.782412268351	605	1	1	0	108
923.7994742468494	610	1	1	0	109
923.8165358561414	619	1	1	0	110
923.83359709619037	613	1	1	0	111
923.85065796695847	612	1	1	0	112
923.86771846840861	606	1	1	0	113
923.88477860050341	613	1	1	0	114
923.90183836320546	619	1	1	0	115
923.9188977564778	607	1	1	0	116
923.93595678028282	603	1	1	0	117
923.953015434583	618	1	1	0	118
923.97007371934171	605	1	1	0	119
923.98713163452089	619	1	1	0	120
924.00418918008381	605	1	1	0	121
924.021246355993	609	1	1	0	122
924.03830316221115	618	1	1	0	123
924.05535959870076	609	1	1	0	124
