Wavelength	Intensity	ROI	Frame	Row	Column
921.93755351249638	631	1	1	0	0
921.95465514507191	619	1	1	0	1
921.97175641248555	621	1	1	0	2
921.98885731470011	636	1	1	0	3
922.00595785167764	632	1	1	0	4
922.02305802338071	622	1	1	0	5
922.04015782977183	615	1	1	0	6
922.05725727081347	633	1	1	0	7
922.07435634646765	624	1	1	0	8
922.09145505669721	628	1	1	0	9
922.10855340146475	622	1	1	0	10
922.12565138073251	625	1	1	0	11
922.14274899446264	632	1	1	0	12
922.15984624261807	633	1	1	0	13
922.17694312516107	625	1	1	0	14
922.194039642054	627	1	1	0	15
922.21113579325947	629	1	1	0	16
922.22823157874006	623	1	1	0	17
922.24532699845781	627	1	1	0	18
922.26242205237565	618	1	1	0	19
922.27951674045573	627	1	1	0	20
922.29661106266076	629	1	1	0	21
922.31370501895287	615	1	1	0	22
922.3307986092949	616	1	1	0	23
922.34789183364921	613	1	1	0	24
922.36498469197829	618	1	1	0	25
922.38207718424451	617	1	1	0	26
922.39916931041057	610	1	1	0	27
922.41626107043885	616	1	1	0	28
922.4333524642916	616	1	1	0	29
922.45044349193176	609	1	1	0	30
922.46753415332137	611	1	1	0	31
922.48462444842346	614	1	1	0	32
922.50171437720007	609	1	1	0	33
922.5188039396138	609	1	1	0	34
922.53589313562725	614	1	1	0	35
922.55298196520289	603	1	1	0	36
922.57007042830321	622	1	1	0	37
922.58715852489092	607	1	1	0	38
922.60424625492817	614	1	1	0	39
922.62133361837778	615	1	1	0	40
922.63842061520188	599	1	1	0	41
922.65550724536354	618	1	1	0	42
922.67259350882489	626	1	1	0	43
922.68967940554853	612	1	1	0	44
922.70676493549706	613	1	1	0	45
922.72385009863308	616	1	1	0	46
922.74093489491884	598	1	1	0	47
922.758019324317	605	1	1	0	48
922.77510338679042	615	1	1	0	49
922.7921870823011	614	1	1	0	50
922.80927041081191	613	1	1	0	51
922.82635337228533	603	1	1	0	52
922.843435966684	601	1	1	0	53
922.86051819397017	603	1	1	0	54
922.87760005410678	614	1	1	0	55
922.89468154705594	615	1	1	0	56
922.91176267278047	608	1	1	0	57
922.92884343124308	615	1	1	0	58
922.945923822406	619	1	1	0	59
922.963003846232	606	1	1	0	60
922.98008350268378	612	1	1	0	61
922.99716279172355	620	1	1	0	62
923.01424171331382	632	1	1	0	63
923.03132026741775	616	1	1	0	64
923.04839845399727	625	1	1	0	65
923.06547627301529	635	1	1	0	66
923.08255372443443	620	1	1	0	67
923.09963080821706	612	1	1	0	68
923.11670752432576	611	1	1	0	69
923.13378387272348	622	1	1	0	70
923.15085985337225	597	1	1	0	71
