Wavelength	Intensity	ROI	Frame	Row	Column
921.93755351249638	607	1	1	0	0
921.95465514507191	605	1	1	0	1
921.97175641248555	618	1	1	0	2
921.98885731470011	618	1	1	0	3
922.00595785167764	605	1	1	0	4
922.02305802338071	616	1	1	0	5
922.04015782977183	613	1	1	0	6
922.05725727081347	616	1	1	0	7
922.07435634646765	618	1	1	0	8
922.09145505669721	611	1	1	0	9
922.10855340146475	602	1	1	0	10
922.12565138073251	611	1	1	0	11
922.14274899446264	603	1	1	0	12
922.15984624261807	600	1	1	0	13
922.17694312516107	608	1	1	0	14
922.194039642054	603	1	1	0	15
922.21113579325947	614	1	1	0	16
922.22823157874006	618	1	1	0	17
922.24532699845781	620	1	1	0	18
922.26242205237565	610	1	1	0	19
922.27951674045573	626	1	1	0	20
922.29661106266076	624	1	1	0	21
922.31370501895287	607	1	1	0	22
922.3307986092949	611	1	1	0	23
922.34789183364921	617	1	1	0	24
922.36498469197829	610	1	1	0	25
922.38207718424451	614	1	1	0	26
922.39916931041057	613	1	1	0	27
922.41626107043885	610	1	1	0	28
922.4333524642916	616	1	1	0	29
922.45044349193176	612	1	1	0	30
922.46753415332137	628	1	1	0	31
922.48462444842346	602	1	1	0	32
922.50171437720007	621	1	1	0	33
922.5188039396138	617	1	1	0	34
922.53589313562725	614	1	1	0	35
922.55298196520289	622	1	1	0	36
922.57007042830321	618	1	1	0	37
922.58715852489092	617	1	1	0	38
922.60424625492817	609	1	1	0	39
922.62133361837778	614	1	1	0	40
922.63842061520188	611	1	1	0	41
922.65550724536354	611	1	1	0	42
922.67259350882489	606	1	1	0	43
922.68967940554853	607	1	1	0	44
922.70676493549706	604	1	1	0	45
922.72385009863308	590	1	1	0	46
922.74093489491884	589	1	1	0	47
922.758019324317	590	1	1	0	48
922.77510338679042	594	1	1	0	49
922.7921870823011	594	1	1	0	50
922.80927041081191	598	1	1	0	51
922.82635337228533	599	1	1	0	52
922.843435966684	599	1	1	0	53
922.86051819397017	590	1	1	0	54
922.87760005410678	597	1	1	0	55
922.89468154705594	594	1	1	0	56
922.91176267278047	600	1	1	0	57
922.92884343124308	595	1	1	0	58
922.945923822406	597	1	1	0	59
922.963003846232	599	1	1	0	60
922.98008350268378	590	1	1	0	61
922.99716279172355	602	1	1	0	62
923.01424171331382	590	1	1	0	63
923.03132026741775	597	1	1	0	64
923.04839845399727	598	1	1	0	65
923.06547627301529	602	1	1	0	66
923.08255372443443	601	1	1	0	67
923.09963080821706	601	1	1	0	68
923.11670752432576	594	1	1	0	69
923.13378387272348	596	1	1	0	70
923.15085985337225	598	1	1	0	71
923.16793546623524	601	1	1	0	72
923.18501071127434	590	1	1	0	73
923.20208558845309	594	1	1	0	74
923.21916009773315	600	1	1	0	75
923.23623423907748	604	1	1	0	76
923.25330801244888	601	1	1	0	77
923.27038141780974	615	1	1	0	78
923.28745445512266	617	1	1	0	79
923.30452712435044	619	1	1	0	80
923.32159942545547	623	1	1	0	81
923.33867135840046	620	1	1	0	82
923.35574292314777	619	1	1	0	83
923.37281411966046	600	1	1	0	84
923.3898849479009	614	1	1	0	85
923.40695540783167	615	1	1	0	86
923.42402549941551	600	1	1	0	87
923.4410952226151	595	1	1	0	88
923.45816457739284	600	1	1	0	89
923.47523356371141	592	1	1	0	90
923.49230218153355	590	1	1	0	91
923.509370430822	595	1	1	0	92
923.526438311539	591	1	1	0	93
923.54350582364759	586	1	1	0	94
923.56057296711026	587	1	1	0	95
923.57763974188958	598	1	1	0	96
923.59470614794827	583	1	1	0	97
923.611772185249	591	1	1	0	98
923.62883785375448	597	1	1	0	99
923.6459031534273	587	1	1	0	100
923.66296808423	594	1	1	0	101
923.68003264612514	584	1	1	0	102
923.6970968390757	593	1	1	0	103
923.71416066304437	595	1	1	0	104
923.73122411799352	588	1	1	0	105
923.74828720388587	594	1	1	0	106
923.765349920684	590	1	1	0	107
923.782412268351	588	1	1	0	108
923.7994742468494	586	1	1	0	109
923.8165358561414	592	1	1	0	110
923.83359709619037	590	1	1	0	111
923.85065796695847	596	1	1	0	112
923.86771846840861	603	1	1	0	113
923.88477860050341	586	1	1	0	114
923.90183836320546	597	1	1	0	115
923.9188977564778	592	1	1	0	116
923.93595678028282	591	1	1	0	117
923.953015434583	596	1	1	0	118
923.97007371934171	602	1	1	0	119
923.98713163452089	594	1	1	0	120
924.00418918008381	591	1	1	0	121
924.021246355993	591	1	1	0	122
924.03830316221115	591	1	1	0	123
924.05535959870076	582	1	1	0	124
924.07241566542473	591	1	1	0	125
924.08947136234588	597	1	1	0	126
924.10652668942669	590	1	1	0	127
924.12358164663	585	1	1	0	128
924.14063623391849	593	1	1	0	129
924.157690451255	583	1	1	0	130
924.17474429860226	592	1	1	0	131
924.19179777592274	589	1	1	0	132
924.20885088317937	588	1	1	0	133
924.22590362033486	597	1	1	0	134
924.24295598735182	599	1	1	0	135
924.26000798419307	581	1	1	0	136
924.27705961082154	585	1	1	0	137
924.29411086719949	584	1	1	0	138
924.31116175329032	591	1	1	0	139
924.328212269056	589	1	1	0	140
924.34526241446	594	1	1	0	141
924.36231218946477	592	1	1	0	142
924.37936159403284	582	1	1	0	143
924.39641062812734	590	1	1	0	144
924.41345929171064	592	1	1	0	145
924.4305075847459	587	1	1	0	146
924.4475555071956	587	1	1	0	147
924.46460305902258	587	1	1	0	148
924.48165024018965	589	1	1	0	149
924.49869705065953	588	1	1	0	150
924.515743490395	583	1	1	0	151
924.532789559359	588	1	1	0	152
924.54983525751379	587	1	1	0	153
924.56688058482268	579	1	1	0	154
924.58392554124828	589	1	1	0	155
924.60097012675328	586	1	1	0	156
